,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
89730,09/27/2020,13:05,MANHATTAN,10032.0,40.84103,-73.94463,"(40.84103, -73.94463)",WEST 165 STREET                 ,RIVERSIDE DRIVE,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4352243,Bike,Bike,,,
90485,09/12/2020,14:04,,,,,,,,71        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4347908,Bike,Bike,,,
92380,09/27/2020,16:40,,,,,,,,91        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4352671,Bike,Bike,,,
93851,08/24/2020,5:50,,,40.746033,-73.93441,"(40.746033, -73.93441)",QUEENS BOULEVARD                ,,,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4341168,Bike,Bike,,,
94629,09/07/2020,21:30,MANHATTAN,10011.0,40.739098,-73.99323,"(40.739098, -73.99323)",,,42        WEST 18 STREET                ,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inattention/Distraction,,,,4347175,Bike,Bike,,,
95240,09/08/2020,21:20,,,,,,,,62        WEST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4345954,Bike,Bike,,,
95266,09/21/2020,8:37,,,,,,,,71        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4350373,Bike,Bike,,,
95989,10/05/2020,16:45,,,,,,,,107       EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inexperience,,,,4355138,Bike,Bike,,,
96108,08/28/2020,14:30,,,,,,WEST DRIVE                      ,WEST LAKE DRIVE,,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4343151,Bike,Bike,,,
96928,09/27/2020,14:38,,,,,,,,72        WEST DRIVE                    ,2.0,0.0,0,0,2,0,0,0,Following Too Closely,Unspecified,Unspecified,,,4352666,Bike,Bike,Bike,,
97721,07/29/2020,19:40,MANHATTAN,10011.0,40.743225,-74.008644,"(40.743225, -74.008644)",11 AVENUE                       ,WEST 15 STREET,,1.0,0.0,0,0,1,0,0,0,Passing Too Closely,Unspecified,,,,4334042,Bike,Bike,,,
98383,07/13/2020,17:00,,,,,,,,102       WEST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4329407,Bike,Bike,,,
98632,07/14/2020,20:05,,,,,,,,99        WEST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4328619,Bike,Bike,,,
99564,07/06/2020,23:30,,,,,,WILLOUGBY AVENUE                ,CENTRAL AVENUE,,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4326218,Bike,Bike,,,
101096,08/09/2020,1:45,BROOKLYN,11226.0,40.65487,-73.96191,"(40.65487, -73.96191)",PARKSIDE AVENUE                 ,OCEAN AVENUE,,2.0,0.0,0,0,2,0,0,0,Unsafe Lane Changing,Unspecified,,,,4343366,Bike,Bike,,,
102492,06/30/2020,18:18,,,,,,,,109       EAST DRIVE                    ,2.0,0.0,0,0,2,0,0,0,Traffic Control Disregarded,Unspecified,,,,4324854,Bike,Bike,,,
102909,07/16/2020,6:33,,,,,,WILLIAMSBURG BRIDGE INNER ROADWA,,,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4332749,Bike,Bike,,,
103617,07/22/2020,12:00,,,,,,EAST DRIVE                      ,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4332606,Bike,Bike,,,
106912,08/04/2020,19:00,QUEENS,11368.0,40.748154,-73.85403,"(40.748154, -73.85403)",111 STREET                      ,46 AVENUE,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4335520,Bike,Bike,,,
107065,07/02/2020,20:10,,,,,,RIEGALMAN BOARDWALK WEST        ,STILLWELL AVENUE,,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4343203,Bike,Bike,,,
108347,08/05/2020,23:25,BRONX,10466.0,40.888092,-73.85355,"(40.888092, -73.85355)",EAST 228 STREET                 ,BRONXWOOD AVENUE,,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4335713,Bike,Bike,,,
108437,07/19/2020,7:10,,,,,,,,103       WEST DRIVE                    ,2.0,0.0,0,0,2,0,0,0,Following Too Closely,Following Too Closely,,,,4330167,Bike,Bike,,,
108566,07/23/2020,8:25,,,,,,,,65        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4334244,Bike,Bike,,,
110993,07/14/2020,19:13,MANHATTAN,10016.0,40.74283,-73.97423,"(40.74283, -73.97423)",,,575       1 AVENUE                      ,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4328909,Bike,Bike,,,
111415,07/24/2020,13:45,MANHATTAN,10028.0,40.776875,-73.94938,"(40.776875, -73.94938)",EAST 86 STREET                  ,1 AVENUE,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4333220,Bike,Bike,,,
112772,07/16/2020,18:00,QUEENS,11377.0,40.757847,-73.89922,"(40.757847, -73.89922)",31 AVENUE                       ,68 STREET,,2.0,0.0,0,0,2,0,0,0,Unspecified,Unspecified,Unspecified,,,4329813,Bike,Bike,,,
113391,05/02/2020,19:45,,,,,,WESTMINISTER ROAD               ,FOSTER AVENUE,,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4311393,Bike,Bike,,,
113518,06/21/2020,9:25,MANHATTAN,10032.0,40.83856,-73.94586,"(40.83856, -73.94586)",WEST 162 STREET                 ,RIVERSIDE DRIVE,,0.0,0.0,0,0,0,0,0,0,Pavement Defective,Pavement Defective,,,,4321765,Bike,Bike,,,
114869,06/14/2020,18:05,,,40.799145,-73.972534,"(40.799145, -73.972534)",RIVERSIDE DRIVE                 ,,,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4319878,Bike,Bike,Bike,,
116355,05/24/2020,14:50,,,,,,WEST DRIVE                      ,9 STREET,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4315506,Bike,Bike,,,
116752,06/20/2020,19:50,QUEENS,11368.0,40.74418,-73.851906,"(40.74418, -73.851906)",111 STREET                      ,52 AVENUE,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4321961,Bike,Bike,,,
117313,05/31/2020,1:40,QUEENS,11372.0,40.754913,-73.8737,"(40.754913, -73.8737)",,,94-06     34 AVENUE                     ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,4317544,Bike,Bike,,,
117503,06/28/2020,17:45,QUEENS,11106.0,40.763733,-73.9414,"(40.763733, -73.9414)",VERNON BOULEVARD                ,35 AVENUE,,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4323828,Bike,Bike,,,
122308,05/13/2020,17:20,,,40.672848,-73.9675,"(40.672848, -73.9675)",EASTERN PARKWAY                 ,,,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4314317,Bike,Bike,,,
122768,06/10/2020,20:29,MANHATTAN,10069.0,,,,WEST 63 STREET                  ,RIVERSIDE BOULEVARD,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4324651,Bike,Bike,,,
122804,06/26/2020,16:15,,,,,,,,86        WEST DRIVE                    ,2.0,0.0,0,0,2,0,0,0,Following Too Closely,Unspecified,,,,4324021,Bike,Bike,,,
123292,06/13/2020,20:00,MANHATTAN,10029.0,40.79507,-73.93919,"(40.79507, -73.93919)",2 AVENUE                        ,EAST 113 STREET,,1.0,0.0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4326344,Bike,Bike,,,
124517,05/14/2020,10:50,,,,,,,,60        WEST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Following Too Closely,,,,4314172,Bike,Bike,,,
